id,idstudy,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,country,idcountry,annual,monthly,startyear,endyear,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last
68,165,26.5,28.6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,USA,112,1,0,1978,1980,3,3759,1253.0,3.0,1979.0,0,0.118,86,2.9655173,1984,1,Shapiro (1984),4,0
69,165,20.4,27.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,USA,112,1,0,1978,1980,3,3759,1253.0,3.0,1979.0,0,0.118,86,2.9655173,1984,1,Shapiro (1984),4,1
70,4,0.191,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Argentina,3,1,0,1960,1977,18,18,1.0,18.0,1968.5,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
71,4,0.194,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Argentina,3,1,0,1960,1977,18,18,1.0,18.0,1968.5,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
72,4,0.15,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Argentina,3,1,0,1960,1977,18,18,1.0,18.0,1968.5,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
73,4,-0.01,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Brazil,10,1,0,1967,1979,13,13,1.0,13.0,1973.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
74,4,0.003,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Brazil,10,1,0,1967,1979,13,13,1.0,13.0,1973.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
75,4,-0.017,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Brazil,10,1,0,1967,1979,13,13,1.0,13.0,1973.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
76,4,0.345,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Colombia,21,1,0,1965,1979,15,15,1.0,15.0,1972.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
77,4,0.213,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Colombia,21,1,0,1965,1979,15,15,1.0,15.0,1972.0,0,0.347,295,10.535714,1985,0,Giovannini (1985),76,0
